ID,Title,IMDB_id,ReleaseDate,Characters,Edges
689,Robin Hood: Prince of Thieves,tt0102798,1991,39,174
691,The Rock,tt0117500,1996,36,90
692,RocknRolla,tt1032755,2008,40,144
693,Rocky,tt0075148,1976,46,170
694,The Rocky Horror Picture Show,tt0073629,1975,20,63
695,Romeo  Juliet,tt0117509,1996,41,120
696,Ronin,tt0122690,1998,18,48
697,Gunsmoke,tt0045847,1953,25,133
698,The Ruins,tt0963794,2008,19,73
699,Runaway Bride,tt0163187,1999,31,98
700,Rush Hour,tt0120812,1998,39,108
701,Rush Hour 2,tt0266915,2001,24,51
703,Donnie Darko,tt0246578,2001,28,80
